Gen	t_n5	t_n6	t_n7	mu1	mu2	mu3	mu4	mu5	lnL
16480	0.3647473	0.0646951	0.0796706	0.0606070	0.0698474	0.0534799	0.0564248	0.0582445	-255146.968
16482	0.3472629	0.0588233	0.0758515	0.0636585	0.0754438	0.0527723	0.0592657	0.0611770	-255149.859
16484	0.3750265	0.0634299	0.0819158	0.0555793	0.0663204	0.0560066	0.0584527	0.0541424	-255149.875
16486	0.3774693	0.0684457	0.0819158	0.0565538	0.0663204	0.0514199	0.0572790	0.0516896	-255148.683
16488	0.3207605	0.0562571	0.0696093	0.0665523	0.0792570	0.0605107	0.0652931	0.0641775	-255145.377
16490	0.3542144	0.0640428	0.0758640	0.0617925	0.0702839	0.0561830	0.0602611	0.0595876	-255146.799
16492	0.3482903	0.0592944	0.0760548	0.0624835	0.0721348	0.0543217	0.0616707	0.0575685	-255146.815
16494	0.2936104	0.0499855	0.0641145	0.0741200	0.0855687	0.0644382	0.0731558	0.0682897	-255146.815
16496	0.3384999	0.0568429	0.0773881	0.0595605	0.0726525	0.0558929	0.0624793	0.0625917	-255150.163
16498	0.3447812	0.0594286	0.0737787	0.0635637	0.0762786	0.0554197	0.0624793	0.0619427	-255148.239
16500	0.3582253	0.0653429	0.0766555	0.0619944	0.0698874	0.0508660	0.0570723	0.0596180	-255150.736
16502	0.3092240	0.0546293	0.0720989	0.0708207	0.0798374	0.0641685	0.0682901	0.0638214	-255148.250
16504	0.2900182	0.0512344	0.0649825	0.0716191	0.0883442	0.0684204	0.0728151	0.0680503	-255147.201
16506	0.3288141	0.0589152	0.0758774	0.0640745	0.0779207	0.0603477	0.0625188	0.0600212	-255148.567
16508	0.3120314	0.0508671	0.0709698	0.0685053	0.0803570	0.0645208	0.0668420	0.0672203	-255148.608
16510	0.3037511	0.0552662	0.0709698	0.0685053	0.0803570	0.0645208	0.0665163	0.0672203	-255150.216
16512	0.3603770	0.0615743	0.0804214	0.0602055	0.0706193	0.0543827	0.0587396	0.0566580	-255145.378
16514	0.3096315	0.0529039	0.0690971	0.0676110	0.0797503	0.0632955	0.0683664	0.0659437	-255145.953
16516	0.3096315	0.0572346	0.0653995	0.0676110	0.0850173	0.0632955	0.0700881	0.0659437	-255151.504
16518	0.3700661	0.0658487	0.0805961	0.0582200	0.0689872	0.0516976	0.0568729	0.0553729	-255145.517
16520	0.3140675	0.0549249	0.0672258	0.0697991	0.0805004	0.0619795	0.0656537	0.0663858	-255146.848
16522	0.3225728	0.0549249	0.0712582	0.0667028	0.0805004	0.0549300	0.0656537	0.0663858	-255149.293
16524	0.3076979	0.0542179	0.0679722	0.0699274	0.0808850	0.0602169	0.0688276	0.0695951	-255146.326
16526	0.3562441	0.0627719	0.0779307	0.0603982	0.0736570	0.0544453	0.0594483	0.0601112	-255146.912
16528	0.3562441	0.0627719	0.0779307	0.0613972	0.0678582	0.0544453	0.0594483	0.0601112	-255146.654
16530	0.3252586	0.0567737	0.0724846	0.0678839	0.0770035	0.0655799	0.0681243	0.0647409	-255151.328
16532	0.2813847	0.0511485	0.0627072	0.0746445	0.0948006	0.0726758	0.0753093	0.0748354	-255149.713
16534	0.3107748	0.0535526	0.0684974	0.0683348	0.0821537	0.0595965	0.0665741	0.0642295	-255147.615
16536	0.3111522	0.0567125	0.0685806	0.0665147	0.0820541	0.0646816	0.0664934	0.0665232	-255147.490
16538	0.3177286	0.0558465	0.0699365	0.0696371	0.0787440	0.0603079	0.0657899	0.0665232	-255145.819
16540	0.3688837	0.0648379	0.0811965	0.0603739	0.0678242	0.0519447	0.0566665	0.0572981	-255146.104
16542	0.3491910	0.0620675	0.0777271	0.0651164	0.0679811	0.0581483	0.0621041	0.0598556	-255150.844
16544	0.3575928	0.0582721	0.0777271	0.0651164	0.0716122	0.0542282	0.0596139	0.0620665	-255154.045
16546	0.2930825	0.0528439	0.0653273	0.0757711	0.0873747	0.0661644	0.0727355	0.0720806	-255147.077
16548	0.3310663	0.0565803	0.0753092	0.0657279	0.0757935	0.0573945	0.0650452	0.0625266	-255146.624
16550	0.3411954	0.0623633	0.0742188	0.0610732	0.0780785	0.0556906	0.0626912	0.0606703	-255149.934
16552	0.3409161	0.0585596	0.0742188	0.0614796	0.0750909	0.0605944	0.0626912	0.0606703	-255146.772
16554	0.3330405	0.0585596	0.0742188	0.0614796	0.0750909	0.0562194	0.0626912	0.0606703	-255147.328
16556	0.2925920	0.0499776	0.0657372	0.0706520	0.0879853	0.0661081	0.0708586	0.0710884	-255147.311
16558	0.3487947	0.0648485	0.0740187	0.0632209	0.0738079	0.0554558	0.0605065	0.0596336	-255149.099
16560	0.3487947	0.0614881	0.0784417	0.0624428	0.0704837	0.0554558	0.0605065	0.0624288	-255146.902
16562	0.3019876	0.0522398	0.0629279	0.0695777	0.0812109	0.0628059	0.0712183	0.0704893	-255149.631
16564	0.3519938	0.0621439	0.0757408	0.0621406	0.0654724	0.0527962	0.0598680	0.0623472	-255153.147
16566	0.3519938	0.0597303	0.0795711	0.0621406	0.0690323	0.0595370	0.0598680	0.0623472	-255149.580
16568	0.2969228	0.0503852	0.0671219	0.0736660	0.0860009	0.0671918	0.0721551	0.0739108	-255148.342
16570	0.2921286	0.0503852	0.0671219	0.0736660	0.0818290	0.0671918	0.0721551	0.0699070	-255147.247
16572	0.3297799	0.0558055	0.0743427	0.0665109	0.0738810	0.0606655	0.0651467	0.0631170	-255147.005
16574	0.2964246	0.0533478	0.0639876	0.0739139	0.0819040	0.0674919	0.0701103	0.0702192	-255147.043
16576	0.3524227	0.0634259	0.0760756	0.0621694	0.0688899	0.0567678	0.0589701	0.0590618	-255147.043
16578	0.3471151	0.0585015	0.0793158	0.0645317	0.0729306	0.0567678	0.0605473	0.0590618	-255147.491
16580	0.2974014	0.0519992	0.0641666	0.0697932	0.0851217	0.0662571	0.0706685	0.0711168	-255146.532
16582	0.3518540	0.0596090	0.0780197	0.0623097	0.0707448	0.0550665	0.0595965	0.0591053	-255145.748
16584	0.3444145	0.0636218	0.0741558	0.0623097	0.0735258	0.0588443	0.0605825	0.0591053	-255147.610
16586	0.3493462	0.0605812	0.0767065	0.0650413	0.0747060	0.0546603	0.0605825	0.0591053	-255148.042
16588	0.2802671	0.0496485	0.0628637	0.0770761	0.0881364	0.0702598	0.0739229	0.0721205	-255145.691
16590	0.3084747	0.0532769	0.0674579	0.0718269	0.0825923	0.0654749	0.0688885	0.0672088	-255145.833
16592	0.3037336	0.0532769	0.0674579	0.0718269	0.0825923	0.0654749	0.0688885	0.0672088	-255145.106
16594	0.3347478	0.0587170	0.0743460	0.0651722	0.0771786	0.0594087	0.0625060	0.0609819	-255145.731
16596	0.3424722	0.0609100	0.0806990	0.0597412	0.0735484	0.0572697	0.0602555	0.0587863	-255149.567
16598	0.3153709	0.0545969	0.0677955	0.0696459	0.0779026	0.0590416	0.0672229	0.0655838	-255146.884
16600	0.3153709	0.0545969	0.0690540	0.0708841	0.0767089	0.0590416	0.0672229	0.0655838	-255147.571
16602	0.3461414	0.0613255	0.0775643	0.0631067	0.0726252	0.0591921	0.0625013	0.0583880	-255147.138
16604	0.3461414	0.0613255	0.0775643	0.0631067	0.0726252	0.0591921	0.0597090	0.0583880	-255146.467
16606	0.3356672	0.0558360	0.0721595	0.0634124	0.0766141	0.0640264	0.0641812	0.0627612	-255149.720
16608	0.2941238	0.0526012	0.0642891	0.0711756	0.0859935	0.0665440	0.0720385	0.0704447	-255145.684
16610	0.3116079	0.0574375	0.0733266	0.0700127	0.0811684	0.0628102	0.0679964	0.0647683	-255150.086
16612	0.3354511	0.0639651	0.0735750	0.0601674	0.0738288	0.0583458	0.0631634	0.0601647	-255151.717
16614	0.2879161	0.0522826	0.0634831	0.0697323	0.0855654	0.0676211	0.0753729	0.0697292	-255150.608
16616	0.2947634	0.0522826	0.0668671	0.0712358	0.0869801	0.0676211	0.0753729	0.0697292	-255150.963
16618	0.3408765	0.0615867	0.0720308	0.0643346	0.0730699	0.0552880	0.0613539	0.0591949	-255148.172
16620	0.3183282	0.0562423	0.0724354	0.0690044	0.0796087	0.0631612	0.0669763	0.0668103	-255146.877
16622	0.3183282	0.0533469	0.0724354	0.0670744	0.0769409	0.0631612	0.0669763	0.0668103	-255147.455
16624	0.3012211	0.0519142	0.0692567	0.0708995	0.0803573	0.0649044	0.0688247	0.0686541	-255146.921
16626	0.3437531	0.0616350	0.0771138	0.0611117	0.0757232	0.0582912	0.0595221	0.0616589	-255148.302
16628	0.3139452	0.0562904	0.0704270	0.0656030	0.0793915	0.0638258	0.0668986	0.0656845	-255146.435
16630	0.3139452	0.0562904	0.0697611	0.0656030	0.0756268	0.0638258	0.0668986	0.0620601	-255150.087
16632	0.3185874	0.0562904	0.0697611	0.0664204	0.0784863	0.0663382	0.0668986	0.0655534	-255146.803
16634	0.3119546	0.0544368	0.0697611	0.0703526	0.0784863	0.0601471	0.0668986	0.0655534	-255146.168
16636	0.3249165	0.0566987	0.0743794	0.0675460	0.0736422	0.0614541	0.0642298	0.0666969	-255148.734
16638	0.3338222	0.0566987	0.0714637	0.0640041	0.0753274	0.0614541	0.0617724	0.0631344	-255147.976
16640	0.3338222	0.0594088	0.0744975	0.0648174	0.0727121	0.0568933	0.0617724	0.0592852	-255147.489
16642	0.3338222	0.0558687	0.0744975	0.0648174	0.0780830	0.0647236	0.0621251	0.0650434	-255151.050
16644	0.3250972	0.0558687	0.0703221	0.0648174	0.0748560	0.0612298	0.0670190	0.0650434	-255148.035
16646	0.3300405	0.0579158	0.0728987	0.0650367	0.0758676	0.0616901	0.0646502	0.0653987	-255146.323
16648	0.3216068	0.0574385	0.0695669	0.0684425	0.0802800	0.0591623	0.0663360	0.0695223	-255150.068
16650	0.3495972	0.0626927	0.0772870	0.0635710	0.0711293	0.0532527	0.0608711	0.0593557	-255146.745
16652	0.3495972	0.0626566	0.0774897	0.0614326	0.0711293	0.0590527	0.0603445	0.0593557	-255145.850
16654	0.3495972	0.0626566	0.0774897	0.0614326	0.0685080	0.0590527	0.0603445	0.0593557	-255147.121
16656	0.3582524	0.0606949	0.0787212	0.0614326	0.0722967	0.0540370	0.0576821	0.0556004	-255148.136
16658	0.3582524	0.0606949	0.0787212	0.0614326	0.0722967	0.0540370	0.0601904	0.0593596	-255147.175
16660	0.3544930	0.0632566	0.0787212	0.0614326	0.0722967	0.0540370	0.0601904	0.0593596	-255146.023
16662	0.3477235	0.0632566	0.0787212	0.0601920	0.0722967	0.0586401	0.0611001	0.0574132	-255147.591
16664	0.3600218	0.0622737	0.0771880	0.0597759	0.0698270	0.0588412	0.0590129	0.0567966	-255147.246
16666	0.3600218	0.0622737	0.0747400	0.0616572	0.0710193	0.0515003	0.0568559	0.0567966	-255151.729
16668	0.3600218	0.0646259	0.0805952	0.0585113	0.0721777	0.0576238	0.0593717	0.0551952	-255148.575
16670	0.3073177	0.0551652	0.0682188	0.0685458	0.0777795	0.0639721	0.0670100	0.0681263	-255147.563
16672	0.3178093	0.0551652	0.0682188	0.0702834	0.0777795	0.0639721	0.0670100	0.0649297	-255146.876
16674	0.3178093	0.0550195	0.0723625	0.0688734	0.0777795	0.0625470	0.0670100	0.0656350	-255146.001
16676	0.3419166	0.0591930	0.0778515	0.0653210	0.0722955	0.0581370	0.0622853	0.0610073	-255146.828
16678	0.3040505	0.0526376	0.0642189	0.0734560	0.0812992	0.0653774	0.0700423	0.0686051	-255147.465
16680	0.2972306	0.0526376	0.0655960	0.0713918	0.0857718	0.0653774	0.0700423	0.0695058	-255145.376
16682	0.3270271	0.0588137	0.0732926	0.0672013	0.0767648	0.0585120	0.0626871	0.0622069	-255146.870
16684	0.3312689	0.0588137	0.0732926	0.0630567	0.0767648	0.0585120	0.0657941	0.0622069	-255147.376
16686	0.3474665	0.0585983	0.0777477	0.0629392	0.0701927	0.0597588	0.0620240	0.0615078	-255148.290
16688	0.3347165	0.0585983	0.0740894	0.0610611	0.0714381	0.0597588	0.0620240	0.0659137	-255150.877
16690	0.2926633	0.0493553	0.0603079	0.0757142	0.0797406	0.0697765	0.0724213	0.0713332	-255154.262
16692	0.2876830	0.0541397	0.0616226	0.0753764	0.0848012	0.0697765	0.0724213	0.0713332	-255149.370
16694	0.2822801	0.0506137	0.0616226	0.0753764	0.0897527	0.0697765	0.0757889	0.0713332	-255146.094
16696	0.3276662	0.0572711	0.0729593	0.0644736	0.0758065	0.0589343	0.0640125	0.0663434	-255146.512
16698	0.3320215	0.0612062	0.0729593	0.0644736	0.0758065	0.0589343	0.0627223	0.0633264	-255146.665
16700	0.3075844	0.0545777	0.0691487	0.0701510	0.0818292	0.0636165	0.0677055	0.0667364	-255145.191
16702	0.3280184	0.0549162	0.0737425	0.0681631	0.0767316	0.0596535	0.0653753	0.0654522	-255147.955
16704	0.3057164	0.0510516	0.0690364	0.0708695	0.0850737	0.0703163	0.0710540	0.0661771	-255150.901
16706	0.3057164	0.0510516	0.0690364	0.0728835	0.0804038	0.0647993	0.0677656	0.0661771	-255148.272
16708	0.3057164	0.0542676	0.0690364	0.0716005	0.0804038	0.0593216	0.0676528	0.0661771	-255147.709
16710	0.2957648	0.0499783	0.0649033	0.0730232	0.0826696	0.0684389	0.0702854	0.0703913	-255146.799
16712	0.2954723	0.0536431	0.0642891	0.0730232	0.0831238	0.0684389	0.0702854	0.0686149	-255146.779
16714	0.2954723	0.0512258	0.0637165	0.0730232	0.0866019	0.0684389	0.0702854	0.0708757	-255146.298
16716	0.3415299	0.0607719	0.0755904	0.0639233	0.0702645	0.0576884	0.0613494	0.0597424	-255146.411
16718	0.3527192	0.0607719	0.0789964	0.0647705	0.0710428	0.0504750	0.0589586	0.0597424	-255150.434
16720	0.3050109	0.0539745	0.0701606	0.0729275	0.0799898	0.0671210	0.0680235	0.0672662	-255148.014
16722	0.3110609	0.0574317	0.0671925	0.0678799	0.0799898	0.0620668	0.0680235	0.0672662	-255147.182
16724	0.3650808	0.0674055	0.0788614	0.0578359	0.0681539	0.0528829	0.0579583	0.0575612	-255147.255
16726	0.3650808	0.0619307	0.0788614	0.0578359	0.0681539	0.0528829	0.0579583	0.0575612	-255146.428
16728	0.3183202	0.0585265	0.0687606	0.0697922	0.0791001	0.0606513	0.0644565	0.0660169	-255148.621
16730	0.3553893	0.0653420	0.0743808	0.0603369	0.0708495	0.0515549	0.0602139	0.0591309	-255150.026
16732	0.3553893	0.0653420	0.0791064	0.0627108	0.0708495	0.0541864	0.0602139	0.0591309	-255148.082
16734	0.2913417	0.0503656	0.0648500	0.0733556	0.0849451	0.0705244	0.0734511	0.0679596	-255146.992
16736	0.3186469	0.0537081	0.0709279	0.0683932	0.0776660	0.0581186	0.0657504	0.0652638	-255146.864
16738	0.2843995	0.0512167	0.0634725	0.0764265	0.0897182	0.0684231	0.0725435	0.0729295	-255146.197
16740	0.3411486	0.0561938	0.0740451	0.0608771	0.0756539	0.0570411	0.0622998	0.0607979	-255148.726
16742	0.3411486	0.0571913	0.0782198	0.0608771	0.0756539	0.0570411	0.0609119	0.0607979	-255148.376
16744	0.3170544	0.0522253	0.0702184	0.0666656	0.0778381	0.0624650	0.0667038	0.0633304	-255148.123
16746	0.3170544	0.0566274	0.0702184	0.0675264	0.0768614	0.0565226	0.0665304	0.0658176	-255147.558
16748	0.3170544	0.0563953	0.0702184	0.0675264	0.0789268	0.0624528	0.0648440	0.0658176	-255145.869
16750	0.3427057	0.0599747	0.0746751	0.0634963	0.0742163	0.0587255	0.0626411	0.0652002	-255148.913
16752	0.3363631	0.0576622	0.0746751	0.0634963	0.0742163	0.0587255	0.0611898	0.0588031	-255147.312
16754	0.3464342	0.0588771	0.0746751	0.0601881	0.0742163	0.0549134	0.0589481	0.0579358	-255150.134
16756	0.3140684	0.0540221	0.0692415	0.0716804	0.0835576	0.0618251	0.0686130	0.0652280	-255148.279
16758	0.3140684	0.0577916	0.0692415	0.0698233	0.0794983	0.0618251	0.0663873	0.0652280	-255146.642
16760	0.3533154	0.0650134	0.0781394	0.0607792	0.0698822	0.0580617	0.0590129	0.0579823	-255147.005
16762	0.3669693	0.0650134	0.0781394	0.0607792	0.0698822	0.0544205	0.0569288	0.0558424	-255147.345
16764	0.3089654	0.0535680	0.0657886	0.0709478	0.0791264	0.0646372	0.0671187	0.0671832	-255147.430
16766	0.2853277	0.0527842	0.0651593	0.0749833	0.0861059	0.0691507	0.0718055	0.0679340	-255149.930
16768	0.3019101	0.0527842	0.0688858	0.0696986	0.0830532	0.0608782	0.0700254	0.0679340	-255146.677
16770	0.3463356	0.0592598	0.0774432	0.0619970	0.0768801	0.0527678	0.0622877	0.0584970	-255149.859
16772	0.3730186	0.0644803	0.0787264	0.0550913	0.0660629	0.0545369	0.0560586	0.0542917	-255149.665
16774	0.3023081	0.0522572	0.0652587	0.0702771	0.0815152	0.0672932	0.0702687	0.0669906	-255146.456
16776	0.3406445	0.0617083	0.0735343	0.0623680	0.0756251	0.0597200	0.0623606	0.0594514	-255147.176
16778	0.3503444	0.0631751	0.0758488	0.0626999	0.0697968	0.0569672	0.0603230	0.0563163	-255147.671
16780	0.3587160	0.0604263	0.0797761	0.0582414	0.0697968	0.0569672	0.0605118	0.0563163	-255148.166
16782	0.3201224	0.0550929	0.0727349	0.0672047	0.0796376	0.0624820	0.0663698	0.0617681	-255146.876
16784	0.3201224	0.0583903	0.0727349	0.0680294	0.0796376	0.0577930	0.0663698	0.0673016	-255148.917
16786	0.3513563	0.0625881	0.0801046	0.0599434	0.0722294	0.0552964	0.0584811	0.0593021	-255146.679
16788	0.3554418	0.0625881	0.0801046	0.0599434	0.0722294	0.0552964	0.0584811	0.0593021	-255145.909
16790	0.3468023	0.0583065	0.0751214	0.0599434	0.0750890	0.0552964	0.0603660	0.0593021	-255148.349
16792	0.3522118	0.0587815	0.0751214	0.0634235	0.0697989	0.0552964	0.0603660	0.0593021	-255148.278
16794	0.3315707	0.0565640	0.0756782	0.0659099	0.0751037	0.0574642	0.0626499	0.0616269	-255146.541
16796	0.2913895	0.0497093	0.0665072	0.0749985	0.0854602	0.0653882	0.0737505	0.0759224	-255149.401
16798	0.2913895	0.0497093	0.0665072	0.0714175	0.0900493	0.0681417	0.0713487	0.0700225	-255148.338
16800	0.3414628	0.0633012	0.0787607	0.0603064	0.0743998	0.0575403	0.0607301	0.0597766	-255149.139
16802	0.3278726	0.0607818	0.0722676	0.0654234	0.0781236	0.0599253	0.0637003	0.0622543	-255147.167
16804	0.3278726	0.0546840	0.0722676	0.0638230	0.0781236	0.0599253	0.0655757	0.0622543	-255147.498
16806	0.3278726	0.0578137	0.0722676	0.0638230	0.0762725	0.0599253	0.0621053	0.0622543	-255147.310
16808	0.2836606	0.0500178	0.0647991	0.0737706	0.0881605	0.0711070	0.0746329	0.0765674	-255147.717
16810	0.3046403	0.0537171	0.0669124	0.0717808	0.0820891	0.0676887	0.0694931	0.0662773	-255146.036
16812	0.3046403	0.0537171	0.0669124	0.0717808	0.0820891	0.0617597	0.0694931	0.0685854	-255145.508
16814	0.3046403	0.0537171	0.0706633	0.0698591	0.0782505	0.0630655	0.0694931	0.0685854	-255147.988
16816	0.3292783	0.0580615	0.0712735	0.0646320	0.0730101	0.0583466	0.0642933	0.0634535	-255146.701
16818	0.3042975	0.0521887	0.0676261	0.0719050	0.0812259	0.0649124	0.0701513	0.0693970	-255145.692
16820	0.2952589	0.0521887	0.0676261	0.0763918	0.0852968	0.0649124	0.0701513	0.0693970	-255147.889
16822	0.3560741	0.0595373	0.0763430	0.0633446	0.0724292	0.0593158	0.0593629	0.0575444	-255149.639
16824	0.3029080	0.0524209	0.0672180	0.0719438	0.0844047	0.0664674	0.0695030	0.0718615	-255146.741
16826	0.3119085	0.0563309	0.0683777	0.0685269	0.0817467	0.0658393	0.0670717	0.0635944	-255147.211
16828	0.3119085	0.0530392	0.0712904	0.0691804	0.0832609	0.0658393	0.0670717	0.0674720	-255147.642
16830	0.3330839	0.0569917	0.0709364	0.0643826	0.0772848	0.0572475	0.0645490	0.0622681	-255147.098
16832	0.3103707	0.0530190	0.0654792	0.0692068	0.0830758	0.0609026	0.0693856	0.0669338	-255147.973
16834	0.3010778	0.0530190	0.0708770	0.0717335	0.0830758	0.0630144	0.0693856	0.0682855	-255147.721
16836	0.2955128	0.0508824	0.0656698	0.0755121	0.0830758	0.0630144	0.0713362	0.0716564	-255147.112
16838	0.3704356	0.0655055	0.0811548	0.0586552	0.0677450	0.0534403	0.0554115	0.0556601	-255146.130
16840	0.3692383	0.0678301	0.0804892	0.0591403	0.0683053	0.0538823	0.0541952	0.0543074	-255150.949
16842	0.3782462	0.0661629	0.0804892	0.0557549	0.0642524	0.0538823	0.0541952	0.0548375	-255149.078
16844	0.3802106	0.0661629	0.0804892	0.0557549	0.0663918	0.0538823	0.0568818	0.0548375	-255147.559
16846	0.3231581	0.0549975	0.0761255	0.0638387	0.0760178	0.0585544	0.0631560	0.0670086	-255152.026
16848	0.2901024	0.0510880	0.0642888	0.0739471	0.0896197	0.0652264	0.0739349	0.0687475	-255147.200
16850	0.2736298	0.0511804	0.0592563	0.0783988	0.0917736	0.0679683	0.0766535	0.0752663	-255148.284
16852	0.2736298	0.0511804	0.0598819	0.0783988	0.0917736	0.0679683	0.0766535	0.0752663	-255148.003
16854	0.3563203	0.0617006	0.0777435	0.0612531	0.0710492	0.0521048	0.0593436	0.0582697	-255145.960
16856	0.3563203	0.0617006	0.0777435	0.0643370	0.0694615	0.0521048	0.0593436	0.0598028	-255149.038
16858	0.3121876	0.0548094	0.0690606	0.0685831	0.0781948	0.0649959	0.0668048	0.0673218	-255145.868
16860	0.3121876	0.0548094	0.0668957	0.0685831	0.0801617	0.0649959	0.0668048	0.0673218	-255146.249
16862	0.3159543	0.0548094	0.0702003	0.0685831	0.0801617	0.0649959	0.0668048	0.0673218	-255145.848
16864	0.3470920	0.0602510	0.0771700	0.0623890	0.0729219	0.0554413	0.0599399	0.0612416	-255145.646
16866	0.3015724	0.0549044	0.0670495	0.0718060	0.0804486	0.0638096	0.0689872	0.0657058	-255147.378
16868	0.3181406	0.0540177	0.0695567	0.0692177	0.0804722	0.0615096	0.0665006	0.0657359	-255145.889
16870	0.3181406	0.0532322	0.0695567	0.0734238	0.0804722	0.0615096	0.0649942	0.0657359	-255151.429
16872	0.3524063	0.0606103	0.0770483	0.0662846	0.0726476	0.0555288	0.0615278	0.0593442	-255150.783
16874	0.2867314	0.0521368	0.0593662	0.0738777	0.0856251	0.0654482	0.0725189	0.0725940	-255150.490
16876	0.3147336	0.0537287	0.0655719	0.0688034	0.0797438	0.0659938	0.0668644	0.0680994	-255149.094
16878	0.3244831	0.0572604	0.0728051	0.0667361	0.0821072	0.0674320	0.0648554	0.0643474	-255151.169
16880	0.3479317	0.0613983	0.0780663	0.0622385	0.0727398	0.0579294	0.0604845	0.0600107	-255145.289
16882	0.3529166	0.0640681	0.0801453	0.0622385	0.0727398	0.0579294	0.0588910	0.0593165	-255147.857
16884	0.3052360	0.0543840	0.0676407	0.0737444	0.0805238	0.0639998	0.0699358	0.0673756	-255146.942
16886	0.3625976	0.0631375	0.0787561	0.0604527	0.0672502	0.0571846	0.0573306	0.0601422	-255148.494
16888	0.2938273	0.0537662	0.0665213	0.0705838	0.0849354	0.0690082	0.0705501	0.0699194	-255147.472
16890	0.3228155	0.0590706	0.0696808	0.0635345	0.0773084	0.0628114	0.0664171	0.0636408	-255148.627
16892	0.3713211	0.0634393	0.0805184	0.0598774	0.0672096	0.0546196	0.0577410	0.0553274	-255146.599
16894	0.2907531	0.0514247	0.0650131	0.0750126	0.0852663	0.0677225	0.0726112	0.0730352	-255145.503
16896	0.3030959	0.0503113	0.0677730	0.0751342	0.0806037	0.0670693	0.0696543	0.0700611	-255149.570
16898	0.3304966	0.0564951	0.0761031	0.0640003	0.0795520	0.0597280	0.0620301	0.0623924	-255149.043
16900	0.3304966	0.0593151	0.0723472	0.0672859	0.0748991	0.0597280	0.0620301	0.0623924	-255147.274
16902	0.3391083	0.0558606	0.0723472	0.0646412	0.0749652	0.0597280	0.0620301	0.0623924	-255148.415
16904	0.3250087	0.0558606	0.0763778	0.0687394	0.0749652	0.0597280	0.0648482	0.0636767	-255149.122
16906	0.3250087	0.0558606	0.0696605	0.0687394	0.0749652	0.0597280	0.0648482	0.0636767	-255147.348
16908	0.3250087	0.0558606	0.0707053	0.0664740	0.0769135	0.0597280	0.0648482	0.0636767	-255145.264
16910	0.3729347	0.0658718	0.0811315	0.0579314	0.0691681	0.0528828	0.0565145	0.0554936	-255145.518
16912	0.3729347	0.0633301	0.0811315	0.0579314	0.0659017	0.0528828	0.0565145	0.0554936	-255145.940
16914	0.3025681	0.0532012	0.0657964	0.0703647	0.0860157	0.0651814	0.0696578	0.0683994	-255145.958
16916	0.3546732	0.0642696	0.0795240	0.0609384	0.0701110	0.0564495	0.0592911	0.0595997	-255146.078
16918	0.3106116	0.0565105	0.0699232	0.0693055	0.0763206	0.0642003	0.0655360	0.0631092	-255150.525
16920	0.3195282	0.0549931	0.0699232	0.0693055	0.0793979	0.0642003	0.0655360	0.0631092	-255146.642
16922	0.3074929	0.0534636	0.0672895	0.0720181	0.0808688	0.0614821	0.0726885	0.0655793	-255151.331
16924	0.3081622	0.0533277	0.0685065	0.0707387	0.0794322	0.0683899	0.0691539	0.0644143	-255147.888
16926	0.3208327	0.0568289	0.0679398	0.0679451	0.0762952	0.0576456	0.0664229	0.0618705	-255149.055
16928	0.2885055	0.0511028	0.0644198	0.0755583	0.0846390	0.0693655	0.0752391	0.0688031	-255147.894
16930	0.3395069	0.0601366	0.0758078	0.0622269	0.0756665	0.0589453	0.0615872	0.0599852	-255145.796
16932	0.3389628	0.0609099	0.0739563	0.0641430	0.0715676	0.0581969	0.0635956	0.0646760	-255148.809
16934	0.3335125	0.0609099	0.0739563	0.0666685	0.0759928	0.0581969	0.0620423	0.0646760	-255148.344
16936	0.3389264	0.0575840	0.0739563	0.0618837	0.0759928	0.0581969	0.0620423	0.0597017	-255146.807
16938	0.3348688	0.0575840	0.0739563	0.0650062	0.0738379	0.0581969	0.0620423	0.0629927	-255145.773
16940	0.3132654	0.0546636	0.0691852	0.0694891	0.0813223	0.0622103	0.0681773	0.0673368	-255145.402
16942	0.3495997	0.0622238	0.0750637	0.0624900	0.0714416	0.0546517	0.0598938	0.0591554	-255146.055
16944	0.3495997	0.0622238	0.0750637	0.0624900	0.0714416	0.0546517	0.0626650	0.0613240	-255148.653
16946	0.3418166	0.0589448	0.0750637	0.0624900	0.0725522	0.0546517	0.0626650	0.0613240	-255146.110
16948	0.3004370	0.0524142	0.0659767	0.0710969	0.0867799	0.0678869	0.0693346	0.0697703	-255146.571
16950	0.3636607	0.0634442	0.0798607	0.0587364	0.0689680	0.0560845	0.0572806	0.0576405	-255145.591
16952	0.3675908	0.0634442	0.0798607	0.0587364	0.0657464	0.0497249	0.0572806	0.0585170	-255148.367
16954	0.3675908	0.0634233	0.0798607	0.0584053	0.0709181	0.0497249	0.0572806	0.0564631	-255147.475
16956	0.3675908	0.0634233	0.0756635	0.0584053	0.0709181	0.0497249	0.0567651	0.0619978	-255156.120
16958	0.3208290	0.0555793	0.0704575	0.0681778	0.0834933	0.0607761	0.0647764	0.0660116	-255148.556
16960	0.3143490	0.0588141	0.0679627	0.0690506	0.0761356	0.0661333	0.0676193	0.0650805	-255150.313
16962	0.3143490	0.0590308	0.0708914	0.0664437	0.0770694	0.0636586	0.0654711	0.0650805	-255149.320
16964	0.3623772	0.0649004	0.0817691	0.0599499	0.0692326	0.0551901	0.0567615	0.0533748	-255148.526
16966	0.2888575	0.0498590	0.0628720	0.0745816	0.0861300	0.0740949	0.0706151	0.0676330	-255151.217
