Gen	t_n5	t_n6	t_n7	mu1	mu2	mu3	mu4	mu5	lnL
9732	0.3169687	0.0555448	0.0695101	0.0673486	0.0787473	0.0665038	0.0662257	0.0649635	-255146.347
9734	0.3169687	0.0555448	0.0712477	0.0706606	0.0773245	0.0640467	0.0662257	0.0649635	-255146.770
9736	0.3098740	0.0555448	0.0692876	0.0740677	0.0809061	0.0640467	0.0662257	0.0649635	-255149.663
9738	0.3098740	0.0556763	0.0722026	0.0699781	0.0809061	0.0640467	0.0685646	0.0688278	-255148.365
9740	0.3460801	0.0621462	0.0758046	0.0626572	0.0724419	0.0573463	0.0613916	0.0572696	-255146.371
9742	0.3313476	0.0559790	0.0685918	0.0678945	0.0736884	0.0648269	0.0641212	0.0598160	-255153.906
9744	0.3031021	0.0546969	0.0636403	0.0722985	0.0760158	0.0614239	0.0714731	0.0733149	-255156.902
9746	0.3031021	0.0521603	0.0665504	0.0722985	0.0760158	0.0693391	0.0672694	0.0665710	-255153.812
9748	0.3535613	0.0611779	0.0760241	0.0597595	0.0698675	0.0606984	0.0617342	0.0634765	-255153.033
9750	0.3431107	0.0563554	0.0760241	0.0600727	0.0733852	0.0606984	0.0617342	0.0634765	-255150.618
9752	0.3148973	0.0526647	0.0683419	0.0705801	0.0810930	0.0695266	0.0687042	0.0679248	-255150.988
9754	0.3203286	0.0568252	0.0695207	0.0657358	0.0787163	0.0624039	0.0669176	0.0633410	-255146.169
9756	0.3298146	0.0585080	0.0715794	0.0638452	0.0764523	0.0606091	0.0622541	0.0613789	-255147.068
9758	0.3677103	0.0627897	0.0793815	0.0594915	0.0677181	0.0524694	0.0580089	0.0571934	-255146.029
9760	0.3164443	0.0549612	0.0694844	0.0679653	0.0810332	0.0569850	0.0659118	0.0653398	-255147.283
