Iteration	Posterior	Likelihood	Prior	alpha	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	pi[1]	pi[2]	pi[3]	pi[4]	sr[1]	sr[2]	sr[3]	sr[4]	sr[5]	TL
220	-5217.6	-5245.074	27.47472	0.1973741	0.0382549	0.0304943	0.0183633	0.0846568	0.0568985	0.0372461	0.0807871	0.0254338	0.00689524	0.0097781	0.130771	0.0781615	0.0262135	0.0204109	0.0109874	0.014839	0.000774334	0.0445112	0.0210222	0.0144388	0.0291561	0.0926508	0.325137	0.0353249	0.0913313	0.369732	0.0858243	0.272071	0.198934	0.231558	0.297438	0.000156418	0.0103559	0.114987	0.657067	4.21743	0.7800939
230	-5222.494	-5249.07	26.57596	0.2319987	0.04684	0.0271356	0.0217685	0.0844831	0.0582696	0.0522382	0.0761827	0.0386336	0.0129685	0.0113189	0.14499	0.093056	0.0186314	0.0129245	0.0105224	0.0139003	0.0125354	0.0507173	0.0345547	0.0144388	0.0338603	0.132043	0.277737	0.0364734	0.100538	0.380612	0.0725961	0.259162	0.207845	0.228196	0.304798	0.000525733	0.0204509	0.164903	0.758604	4.05552	0.86997
240	-5212.555	-5240.146	27.59183	0.21649	0.0334347	0.030847	0.0210925	0.065114	0.0628093	0.0351904	0.0793993	0.0235757	0.0185358	0.00395667	0.133726	0.0853838	0.0145794	0.00569788	0.0140175	0.00622243	0.00245481	0.0444853	0.0422143	0.0204192	0.0252266	0.105372	0.298799	0.041336	0.0905223	0.407666	0.0563044	0.265514	0.20153	0.235929	0.297026	0.000320505	0.0154985	0.142447	0.715925	4.12581	0.7683827
250	-5217.8	-5244.858	27.05758	0.2043469	0.0226483	0.0427541	0.0279314	0.0814	0.0593533	0.0473674	0.0682802	0.0376283	0.0152901	0.00408967	0.143588	0.0762613	0.0114832	0.00518217	0.0116	0.0204802	0.00397077	0.0492769	0.0524558	0.0198202	0.0209474	0.124725	0.295223	0.0508319	0.0843217	0.387184	0.0577138	0.27585	0.189447	0.240457	0.294246	0.000206396	0.0121041	0.124941	0.679383	4.18337	0.8218084
260	-5212.696	-5240.921	28.22461	0.2136164	0.0373615	0.0478389	0.0216218	0.0749759	0.0412213	0.040508	0.0596493	0.037295	0.00710979	0.00248701	0.112322	0.0729021	0.0117816	0.00387915	0.0130311	0.0140863	0.000815198	0.034859	0.0354355	0.0131456	0.022779	0.133543	0.243452	0.045301	0.106301	0.402962	0.0684413	0.287725	0.19044	0.241718	0.280117	0.000290117	0.0146558	0.138292	0.707536	4.13923	0.705105
270	-5208.76	-5236.607	27.8472	0.2094146	0.0345901	0.03285	0.0329967	0.0549439	0.0457817	0.0376531	0.0803224	0.0306268	0.00733532	0.00393238	0.129807	0.0866005	0.0093007	0.00550968	0.00936124	0.00883757	0.00708347	0.0444019	0.0342371	0.0147225	0.0319519	0.109036	0.264259	0.0393588	0.0871795	0.431504	0.068663	0.264665	0.192952	0.243174	0.299209	0.000249558	0.0134673	0.132227	0.694984	4.15907	0.7428456
280	-5224.691	-5252.653	27.96112	0.2263945	0.0290874	0.0335992	0.0204395	0.0633516	0.0687354	0.0418398	0.0763165	0.0226233	0.0125656	0.00623759	0.109366	0.0911088	0.00463131	0.00686047	0.0050107	0.0197873	0.00439659	0.0417101	0.0249693	0.00924349	0.039574	0.0844171	0.347271	0.0750423	0.101103	0.337266	0.0549017	0.259731	0.200362	0.243231	0.296677	0.000443105	0.0185842	0.156791	0.743674	4.08051	0.7314535
290	-5219.324	-5247.146	27.82198	0.2306031	0.0228537	0.0340473	0.0274453	0.0616464	0.0601513	0.037458	0.0656708	0.029658	0.0145616	0.000970771	0.121903	0.100042	0.0161016	0.00945233	0.0118712	0.0120582	0.00130065	0.0517556	0.0274259	0.0079397	0.0310545	0.116184	0.247165	0.0671596	0.10537	0.395148	0.0689726	0.289506	0.186651	0.236139	0.287704	0.00050421	0.0199781	0.162884	0.754937	4.0617	0.7453676
300	-5214.65	-5242.368	27.71734	0.1909537	0.0298946	0.0315275	0.0210865	0.063856	0.041545	0.0477935	0.0770589	0.0250336	0.0133285	0.00378067	0.148568	0.0718022	0.0140972	0.00559242	0.0233999	0.0155706	0.00892123	0.0440577	0.0291215	0.0131134	0.0266831	0.125923	0.255088	0.0437849	0.0973982	0.422988	0.0548189	0.273852	0.184907	0.257797	0.283444	0.000119018	0.00887869	0.105921	0.635616	4.24946	0.7558319
310	-5217.542	-5244.487	26.9447	0.1917209	0.0512777	0.0381185	0.0250138	0.0713411	0.0502902	0.060434	0.0829946	0.0313485	0.0106176	0.00292254	0.149731	0.0957193	0.00442849	0.00222504	0.0105606	0.0166395	0.00751786	0.0424528	0.0423596	0.013423	0.0236798	0.106877	0.307048	0.04713	0.098777	0.372906	0.0672615	0.296715	0.184611	0.226456	0.292218	0.000123087	0.00904849	0.106998	0.638226	4.2456	0.8330957
320	-5229.797	-5256.59	26.79297	0.183061	0.0313312	0.0536327	0.0264158	0.0762709	0.036101	0.0313722	0.0823648	0.0610494	0.0105374	0.00393288	0.128858	0.0867857	0.0267531	0.00887103	0.0120021	0.0192441	0.00242953	0.065507	0.0304105	0.0139387	0.0404608	0.0977103	0.276965	0.0371752	0.110254	0.409313	0.0685831	0.293032	0.183547	0.2333	0.290121	8.28486e-05	0.00723834	0.0949558	0.608016	4.28971	0.8482686
330	-5211.037	-5238.729	27.69191	0.2267437	0.0464839	0.0400382	0.0200752	0.0704748	0.0439741	0.0442019	0.0718624	0.0243314	0.00858261	0.00168193	0.141569	0.0830688	0.0182679	0.011759	0.00775049	0.0128941	0.00101333	0.039414	0.030816	0.0151939	0.0249219	0.117091	0.325435	0.0368747	0.0961572	0.368666	0.0557758	0.266673	0.195563	0.238803	0.298961	0.000447962	0.018698	0.157297	0.74462	4.07894	0.758375
