Gen	t_n5	t_n6	t_n7	mu1	mu2	mu3	mu4	mu5	sigma2_1	sigma2_2	sigma2_3	sigma2_4	sigma2_5	lnL
17370	0.3250262	0.0565303	0.0599509	0.0745366	0.0957671	0.0591683	0.0671801	0.0651776	0.0285831	0.1385104	0.0138958	0.0143804	0.0066061	-255119.808
17375	0.4009868	0.0697418	0.0792276	0.0562478	0.0634336	0.0548832	0.0493884	0.0483124	0.0602930	0.0172172	0.0017226	0.0157656	0.0025483	-255125.085
17380	0.3465871	0.0589093	0.0672109	0.0636891	0.0754394	0.0634976	0.0663575	0.0558954	0.0208844	0.0380793	0.0038999	0.0157656	0.0113847	-255120.138
17385	0.3523307	0.0623687	0.0696681	0.0717609	0.0822783	0.0611482	0.0623653	0.0528703	0.0239074	0.0384685	0.0029195	0.0107061	0.0196094	-255120.186
17390	0.3489653	0.0630269	0.0716006	0.0692266	0.0720698	0.0589887	0.0601629	0.0510032	0.0331002	0.0222474	0.0014439	0.0278817	0.0196094	-255120.037
17395	0.3092980	0.0534735	0.0669660	0.0876068	0.0868041	0.0665540	0.0678787	0.0591996	0.0546217	0.0309774	0.0051350	0.0121794	0.0196094	-255124.335
17400	0.3469859	0.0589305	0.0734592	0.0667230	0.0807163	0.0567440	0.0615931	0.0693243	0.0278573	0.0148425	0.0028234	0.0121794	0.0196094	-255119.874
17405	0.3044709	0.0526732	0.0679350	0.0722013	0.0809545	0.0691411	0.0689770	0.0774674	0.0976637	0.0354756	0.0438184	0.0210252	0.1095422	-255119.515
17410	0.3409199	0.0540053	0.0755444	0.0607128	0.0840267	0.0541899	0.0627543	0.0621909	0.0373766	0.0441758	0.0096737	0.0026195	0.0581350	-255122.310
17415	0.3314743	0.0593818	0.0698189	0.0792645	0.0846084	0.0543148	0.0628989	0.0689503	0.0373766	0.0188406	0.0004281	0.0044189	0.0208304	-255122.334
17420	0.2908291	0.0545179	0.0609105	0.0743257	0.0868568	0.0585514	0.0678052	0.0659782	0.0373766	0.0571170	0.0038847	0.0191178	0.0114628	-255125.964
17425	0.3519582	0.0630475	0.0722473	0.0624624	0.0732419	0.0493734	0.0565473	0.0565198	0.0373766	0.0254156	0.0037926	0.0317328	0.0153892	-255121.102
17430	0.4078617	0.0698093	0.0799957	0.0616245	0.0767056	0.0445911	0.0613223	0.0510453	0.0580752	0.0568048	0.0016452	0.0460171	0.0022465	-255124.853
17435	0.3956479	0.0663930	0.0792595	0.0552232	0.0774181	0.0450053	0.0632325	0.0516138	0.1336862	0.0391203	0.0556782	0.0681231	0.0070470	-255118.812
17440	0.3731906	0.0608352	0.0756964	0.0601868	0.0828804	0.0632438	0.0883318	0.0556955	0.1076333	0.1064330	0.0180675	0.1262839	0.0223557	-255114.519
17445	0.3114814	0.0533173	0.0650313	0.0700574	0.0935317	0.0736024	0.0991770	0.0648295	0.0482426	0.0441306	0.0398551	0.2723933	0.0171764	-255124.300
17450	0.3114768	0.0549117	0.0682963	0.0706140	0.0961670	0.0622008	0.0894932	0.0584337	0.0739757	0.1009040	0.0045028	0.0697325	0.0443010	-255120.337
17455	0.2973712	0.0552004	0.0652034	0.0739635	0.0964492	0.0757484	0.0729619	0.0624285	0.0232926	0.0439316	0.0274126	0.0215328	0.0351555	-255122.188
17460	0.3347869	0.0606489	0.0760879	0.0675109	0.0831092	0.0769456	0.0599900	0.0601203	0.0232926	0.0116702	0.0915677	0.0030353	0.0265590	-255124.416
17465	0.3333441	0.0603875	0.0737484	0.0678031	0.0746421	0.0671437	0.0542510	0.0550905	0.0425126	0.0200316	0.0130779	0.0666196	0.0156488	-255119.745
17470	0.2706672	0.0503056	0.0609714	0.0817626	0.0900096	0.0726912	0.0749291	0.0665787	0.0380376	0.0421898	0.0067074	0.0037744	0.0490476	-255117.485
17475	0.3605745	0.0596285	0.0763168	0.0724658	0.0821235	0.0608950	0.0620044	0.0558854	0.1352559	0.0421898	0.0038732	0.0160199	0.0490476	-255127.082
17480	0.3670042	0.0608099	0.0675042	0.0729279	0.0706893	0.0612834	0.0597304	0.0514773	0.0584736	0.0578837	0.0012459	0.0160199	0.0125512	-255120.133
17485	0.3720363	0.0609303	0.0727361	0.0644934	0.0773532	0.0611623	0.0568308	0.0513756	0.0584736	0.0224757	0.0051035	0.0253716	0.0427634	-255121.264
17490	0.3279326	0.0528975	0.0643094	0.0729318	0.0791822	0.0691648	0.0706426	0.0623790	0.0291951	0.0333371	0.0580754	0.0158140	0.0319628	-255122.044
17495	0.3238288	0.0545225	0.0685055	0.0946667	0.0847960	0.0715676	0.0679409	0.0613411	0.0588008	0.0283979	0.0190991	0.0512695	0.0176534	-255120.802
17500	0.3023869	0.0546972	0.0606186	0.0709498	0.0908088	0.0643172	0.0705606	0.0656907	0.0609499	0.0283979	0.0359660	0.0217972	0.0048120	-255126.611
17505	0.3306875	0.0589126	0.0737164	0.0625865	0.0756292	0.0569875	0.0556564	0.0613077	0.0461676	0.0262450	0.0359660	0.0217972	0.0040084	-255119.813
17510	0.3761722	0.0639521	0.0778411	0.0669220	0.0721311	0.0526285	0.0587291	0.0548000	0.0461676	0.0719448	0.0520116	0.0054464	0.0108188	-255119.945
17515	0.3142236	0.0533754	0.0612520	0.0776882	0.0899579	0.0630042	0.0703075	0.0656037	0.0337910	0.0847996	0.0091787	0.0047198	0.0108188	-255119.712
17520	0.3580305	0.0553208	0.0782446	0.0664931	0.0798838	0.0539251	0.0604934	0.0589019	0.0337910	0.0180003	0.0169350	0.0011364	0.0101376	-255122.098
17525	0.3659060	0.0567163	0.0770982	0.0765871	0.0688042	0.0533261	0.0657703	0.0648792	0.0337910	0.0043377	0.0112071	0.0279946	0.0107908	-255122.905
17530	0.3204981	0.0502131	0.0653458	0.0661795	0.0853776	0.0565874	0.0661960	0.0705057	0.0173184	0.0038755	0.0112071	0.0050863	0.0098045	-255121.245
17535	0.3489836	0.0592581	0.0768793	0.0661114	0.0763982	0.0561109	0.0592341	0.0630905	0.0141820	0.0077641	0.0112071	0.0076298	0.0044549	-255126.134
17540	0.3719917	0.0639492	0.0792215	0.0632265	0.0691367	0.0523656	0.0552803	0.0604189	0.0443823	0.0051164	0.0021891	0.0076298	0.0044549	-255124.892
17545	0.3110210	0.0535125	0.0643780	0.0834772	0.0850775	0.0644395	0.0643341	0.0743497	0.0237561	0.0066027	0.0042323	0.0635875	0.0192659	-255127.880
17550	0.3296689	0.0561760	0.0761872	0.0729963	0.0791521	0.0582377	0.0602749	0.0713434	0.0732876	0.0243383	0.0151314	0.0174035	0.0192659	-255128.588
17555	0.3523309	0.0632949	0.0795902	0.0683012	0.0740610	0.0544918	0.0620939	0.0555947	0.0272942	0.0088768	0.0059792	0.0199563	0.0106378	-255123.641
17560	0.3166461	0.0551570	0.0676467	0.0759985	0.0824074	0.0533964	0.0650509	0.0724868	0.0272942	0.0044928	0.0217371	0.0054346	0.0224908	-255126.857
17565	0.2746340	0.0492814	0.0619274	0.0907123	0.0950137	0.0684102	0.0750021	0.0733080	0.0476752	0.0127113	0.0079708	0.0064498	0.0199117	-255127.650
17570	0.3366518	0.0525529	0.0739841	0.0775216	0.0758938	0.0515585	0.0597448	0.0626481	0.0476752	0.0349707	0.0218495	0.0037328	0.0086776	-255127.027
17575	0.3411700	0.0591842	0.0817356	0.0729415	0.0640707	0.0575155	0.0562150	0.0556294	0.0422441	0.0078868	0.0102526	0.0255931	0.0071852	-255126.218
17580	0.2899367	0.0543778	0.0679307	0.0877647	0.0897650	0.0692037	0.0686416	0.0620904	0.0242207	0.0157366	0.0011830	0.0264028	0.0071852	-255120.317
17585	0.3197904	0.0588904	0.0713392	0.0624605	0.0828866	0.0639008	0.0633992	0.0573326	0.0115323	0.0048463	0.0013924	0.0195543	0.0071852	-255130.804
17590	0.3511209	0.0633468	0.0783284	0.0568872	0.0754906	0.0581990	0.0603964	0.0522168	0.0115323	0.0020536	0.0002313	0.0060734	0.0071852	-255125.071
17595	0.3463274	0.0647129	0.0772591	0.0576745	0.0765355	0.0590045	0.0603227	0.0529395	0.0115323	0.0047473	0.0003119	0.0470677	0.0253682	-255128.926
17600	0.3189393	0.0564755	0.0705717	0.0631397	0.0837880	0.0645958	0.0618111	0.0621887	0.0253214	0.0217809	0.0009133	0.0210298	0.0059422	-255131.111
17605	0.3333709	0.0582865	0.0761214	0.0619939	0.0837880	0.0645958	0.0654302	0.0647256	0.0253214	0.0543220	0.0029307	0.0752074	0.0027271	-255126.015
17610	0.3002079	0.0512628	0.0677992	0.0735508	0.0912919	0.0705736	0.0619308	0.0663002	0.0387150	0.0543220	0.0034561	0.0213291	0.0079436	-255120.051
17615	0.2941534	0.0536688	0.0632865	0.0771227	0.0918139	0.0709289	0.0764777	0.0695200	0.0387150	0.0215284	0.0076697	0.0544764	0.0264948	-255120.870
17620	0.3218351	0.0643666	0.0739134	0.0678687	0.0816332	0.0550310	0.0646837	0.0612869	0.0387150	0.0136717	0.0262198	0.0255941	0.0238379	-255122.983
17625	0.3058895	0.0582102	0.0664456	0.0701519	0.0843795	0.0568823	0.0652417	0.0633487	0.0082475	0.0141130	0.0262198	0.0174083	0.0119302	-255117.867
17630	0.3556707	0.0647351	0.0812259	0.0603332	0.0725694	0.0540436	0.0600203	0.0585461	0.0183405	0.0144510	0.0022993	0.0174083	0.0119302	-255125.264
17635	0.2636230	0.0528019	0.0589159	0.0787472	0.0947180	0.0705380	0.0698551	0.0764147	0.0540291	0.0080270	0.0008212	0.0154254	0.0049670	-255125.114
17640	0.3099172	0.0569627	0.0674070	0.0688277	0.0787500	0.0616526	0.0711155	0.0667890	0.0227852	0.0045820	0.0005275	0.0057802	0.0015414	-255125.884
17645	0.2923457	0.0502814	0.0660223	0.0794014	0.0834833	0.0653582	0.0753660	0.0708033	0.0067702	0.0085360	0.0005275	0.0076506	0.0030423	-255126.286
17650	0.2823144	0.0504650	0.0603051	0.0837803	0.0880873	0.0689626	0.0744713	0.0747080	0.0095345	0.0028497	0.0013158	0.0269023	0.0008235	-255127.061
17655	0.3072495	0.0533811	0.0649094	0.0721655	0.0894318	0.0645844	0.0663905	0.0699651	0.0074390	0.0043105	0.0008763	0.0136992	0.0058781	-255131.167
17660	0.3752723	0.0661517	0.0794766	0.0564982	0.0700159	0.0505630	0.0595316	0.0487408	0.0078164	0.0235711	0.0055243	0.0092785	0.0220856	-255123.023
17665	0.2601822	0.0529826	0.0557227	0.0805828	0.1022333	0.0721174	0.0800675	0.0768464	0.0078164	0.0235711	0.0009768	0.0205592	0.0071685	-255122.735
17670	0.3257743	0.0602145	0.0702067	0.0662796	0.0840873	0.0593169	0.0592526	0.0632065	0.0319221	0.0235711	0.0015907	0.0082732	0.0071685	-255118.995
17675	0.3488419	0.0651575	0.0770628	0.0606166	0.0732468	0.0542488	0.0540364	0.0578060	0.0319221	0.0235711	0.0173450	0.0101748	0.0071685	-255127.895
17680	0.2842604	0.0505780	0.0658590	0.0808155	0.0849069	0.0665736	0.0726669	0.0709391	0.0159493	0.0235711	0.0069925	0.0184116	0.0196655	-255125.370
17685	0.3043041	0.0597563	0.0769812	0.0730247	0.0767217	0.0601558	0.0653935	0.0676420	0.0159493	0.0065597	0.0063006	0.0184116	0.0135988	-255125.694
17690	0.3305400	0.0647345	0.0796573	0.0674089	0.0708216	0.0555297	0.0629021	0.0514103	0.0159493	0.0248001	0.0053688	0.0445498	0.0717759	-255119.184
17695	0.3411703	0.0633332	0.0759201	0.0674089	0.0823852	0.0555297	0.0611052	0.0625657	0.0545493	0.0719358	0.0021056	0.0100543	0.0355846	-255121.725
17700	0.3443853	0.0634294	0.0759201	0.0674089	0.0703870	0.0555297	0.0561252	0.0625657	0.0221350	0.0549222	0.0021056	0.0233284	0.0196115	-255120.001
17705	0.2987848	0.0543385	0.0663241	0.0795763	0.0921896	0.0617309	0.0668375	0.0639866	0.0272301	0.0205897	0.0155454	0.0078631	0.0196115	-255118.395
17710	0.3012308	0.0522770	0.0674984	0.0738860	0.0862157	0.0612296	0.0688388	0.0700552	0.0272301	0.0103374	0.0081239	0.0122676	0.0482089	-255123.319
17715	0.2958897	0.0505190	0.0584662	0.0752197	0.0877720	0.0638047	0.0685651	0.0784771	0.0208091	0.0225469	0.0251888	0.0122676	0.0179377	-255119.571
17720	0.3552254	0.0604067	0.0782520	0.0712204	0.0729568	0.0570426	0.0603189	0.0544634	0.0446827	0.0159895	0.0095306	0.0122676	0.0048460	-255117.314
17725	0.2987160	0.0551574	0.0670269	0.0725434	0.0851750	0.0701640	0.0704206	0.0704315	0.0185431	0.0047067	0.0043914	0.0085736	0.0058427	-255122.166
17730	0.3873544	0.0685254	0.0797323	0.0626822	0.0666868	0.0549342	0.0503202	0.0551436	0.0185431	0.0142889	0.0055074	0.0111408	0.0070494	-255121.662
17735	0.3496358	0.0614549	0.0710456	0.0703464	0.0748406	0.0580902	0.0635577	0.0591069	0.0119939	0.0142889	0.0057063	0.0077266	0.0157093	-255121.513
17740	0.3223327	0.0595530	0.0691955	0.0729099	0.0775679	0.0602071	0.0675007	0.0612609	0.0256081	0.0641446	0.0180129	0.0242060	0.0161605	-255124.312
17745	0.3244357	0.0561478	0.0696469	0.0648310	0.0815811	0.0612459	0.0605348	0.0608638	0.0256081	0.0252167	0.0038120	0.0071086	0.0085438	-255119.879
17750	0.2969242	0.0527882	0.0629439	0.0701694	0.0882988	0.0662890	0.0726171	0.0732118	0.0256081	0.0368464	0.0274727	0.0071086	0.0085438	-255122.606
17755	0.3020548	0.0518831	0.0658040	0.0813525	0.0920119	0.0552092	0.0694610	0.0700298	0.0623416	0.0368464	0.0202841	0.0064162	0.0205785	-255118.655
17760	0.3285545	0.0566342	0.0717210	0.0659656	0.0975029	0.0543326	0.0638585	0.0626639	0.0382125	0.0482251	0.1527533	0.0142670	0.0290901	-255117.481
17765	0.2939771	0.0511172	0.0635396	0.0792897	0.0824984	0.0576067	0.0717807	0.0710606	0.0153205	0.0250925	0.0558733	0.0078207	0.0290901	-255122.113
17770	0.3225201	0.0557561	0.0739967	0.0687088	0.0814916	0.0515131	0.0641872	0.0547314	0.0244916	0.0250925	0.0225270	0.0014944	0.0685908	-255114.316
17775	0.3303539	0.0569935	0.0787205	0.0687088	0.0811981	0.0622724	0.0641872	0.0732066	0.0475581	0.0190105	0.0329006	0.0011086	0.0685908	-255120.160
17780	0.3679399	0.0581669	0.0812778	0.0640154	0.0633509	0.0580187	0.0560495	0.0576143	0.0475581	0.0273646	0.0122646	0.0102781	0.0370527	-255124.246
17785	0.3584255	0.0593773	0.0791760	0.0657147	0.0770148	0.0563465	0.0587761	0.0501969	0.0475581	0.0273646	0.0122646	0.0052488	0.0912933	-255116.501
17790	0.3639699	0.0572405	0.0791760	0.0657147	0.0691600	0.0584145	0.0558263	0.0577340	0.0406344	0.0134423	0.0230431	0.0033448	0.0912933	-255117.802
17795	0.3700347	0.0561769	0.0791760	0.0657147	0.0691600	0.0539062	0.0598489	0.0587536	0.0406344	0.0299793	0.0292014	0.0026876	0.0435082	-255118.195
17800	0.3088587	0.0534042	0.0660863	0.0899211	0.0959211	0.0558670	0.0661499	0.0649850	0.0778170	0.0880250	0.0186646	0.0101570	0.0435082	-255121.011
17805	0.3458482	0.0580386	0.0754890	0.0687052	0.0754301	0.0594411	0.0673703	0.0599701	0.0255678	0.0101510	0.0596281	0.0101570	0.0546631	-255124.011
17810	0.3077829	0.0505697	0.0640089	0.0788348	0.0932314	0.0642616	0.0727737	0.0688119	0.0832203	0.0179413	0.0219008	0.0227794	0.0030736	-255121.830
17815	0.3797463	0.0606022	0.0795820	0.0634575	0.0750460	0.0577172	0.0535230	0.0553897	0.0421153	0.0128886	0.0219008	0.0339600	0.0010710	-255122.856
17820	0.3786266	0.0607197	0.0795820	0.0517426	0.0736115	0.0577172	0.0557779	0.0553897	0.0421153	0.0191977	0.0079359	0.0188888	0.0017764	-255120.994
17825	0.4230179	0.0666133	0.0782213	0.0614853	0.0707888	0.0471356	0.0532602	0.0528895	0.0465075	0.0135560	0.0031064	0.0077829	0.0029917	-255118.906
17830	0.3507642	0.0554581	0.0723234	0.0656597	0.0805907	0.0611406	0.0606350	0.0566288	0.0465075	0.0186767	0.0053617	0.0014932	0.0029917	-255128.407
17835	0.3419730	0.0544544	0.0700456	0.0809092	0.0776329	0.0657274	0.0655382	0.0590353	0.0465075	0.0186767	0.0114724	0.0021649	0.0077400	-255123.477
17840	0.3294229	0.0530315	0.0731796	0.0735735	0.0796440	0.0610585	0.0672360	0.0605647	0.0465075	0.0069435	0.0198912	0.0021649	0.0067366	-255119.088
17845	0.3362870	0.0492954	0.0759672	0.0778486	0.0796440	0.0667908	0.0638980	0.0595478	0.0695238	0.0271569	0.0198912	0.0002522	0.0254856	-255122.991
17850	0.3362870	0.0509173	0.0750483	0.0778486	0.0720784	0.0666241	0.0638980	0.0635637	0.0607959	0.0126620	0.0221977	0.0007794	0.0122611	-255121.974
17855	0.3792630	0.0583269	0.0791973	0.0736439	0.0661310	0.0469132	0.0552338	0.0549448	0.0607959	0.0304200	0.0671049	0.0036583	0.0362256	-255120.189
17860	0.3353791	0.0530068	0.0691027	0.0804148	0.0844127	0.0631314	0.0646704	0.0593578	0.1343000	0.0185666	0.0533543	0.0036583	0.1219845	-255117.788
17865	0.3262551	0.0524137	0.0631230	0.0701498	0.0750691	0.0636138	0.0664789	0.0604004	0.1343000	0.0862416	0.0533543	0.0049191	0.0448359	-255120.886
17870	0.3801845	0.0574107	0.0777907	0.0671431	0.0743690	0.0562208	0.0527178	0.0547112	0.0671409	0.0862416	0.0533543	0.0057551	0.0224194	-255122.603
17875	0.3729554	0.0596878	0.0786667	0.0637372	0.0556781	0.0460675	0.0585010	0.0602704	0.0671409	0.0356271	0.0143394	0.0037179	0.0299307	-255128.977
17880	0.3202600	0.0534302	0.0748971	0.0840885	0.0878498	0.0665409	0.0679189	0.0604615	0.0671409	0.0193248	0.0235300	0.0015072	0.0299307	-255121.003
17885	0.3091133	0.0492125	0.0694393	0.0975418	0.0922018	0.0662313	0.0679189	0.0641569	0.1149411	0.0117863	0.0235300	0.0027873	0.0656841	-255121.288
17890	0.2913811	0.0493949	0.0691038	0.0716364	0.0922018	0.0629821	0.0679189	0.0764766	0.1149411	0.0110779	0.0579505	0.0027873	0.0297313	-255121.030
17895	0.3534883	0.0605761	0.0750662	0.0568617	0.0810461	0.0542759	0.0598097	0.0568469	0.0465421	0.0196844	0.0579505	0.0197140	0.0297313	-255120.781
17900	0.2775964	0.0498447	0.0551307	0.0884553	0.0958475	0.0526322	0.0778726	0.0689269	0.0465421	0.0196844	0.1519005	0.0640347	0.0297313	-255119.983
17905	0.3938597	0.0749401	0.0800688	0.0634448	0.0659949	0.0378677	0.0570525	0.0537046	0.0985977	0.0379985	0.1519005	0.0137703	0.0098909	-255120.538
17910	0.2732811	0.0541123	0.0562730	0.0864894	0.0963812	0.0646536	0.0780425	0.0764143	0.0485496	0.0687728	0.0313981	0.0137703	0.0141833	-255117.985
17915	0.3466504	0.0695761	0.0708707	0.0608692	0.0653099	0.0523111	0.0499743	0.0544384	0.0168257	0.0649213	0.0313981	0.0504002	0.0240526	-255120.621
17920	0.2567308	0.0507732	0.0528506	0.0947503	0.1132089	0.0718992	0.0780958	0.0685417	0.0211486	0.0649213	0.0127338	0.0241855	0.1140491	-255118.389
17925	0.2999676	0.0562668	0.0597409	0.0838221	0.0906529	0.0636066	0.0661823	0.0587442	0.0417265	0.0649213	0.0088243	0.0241855	0.0537622	-255124.043
17930	0.3480786	0.0617067	0.0699394	0.0715488	0.0831889	0.0584259	0.0611668	0.0571607	0.0952203	0.0375810	0.0281927	0.0181534	0.0122679	-255120.372
17935	0.3296137	0.0537984	0.0616064	0.0802530	0.0895973	0.0626837	0.0634368	0.0663962	0.2290693	0.0375810	0.0235707	0.0681952	0.0162421	-255118.188
17940	0.3298305	0.0557691	0.0678189	0.0672855	0.0763719	0.0498237	0.0672944	0.0737021	0.0736340	0.0502199	0.0884394	0.0079851	0.0162421	-255122.381
17945	0.3566180	0.0593443	0.0729169	0.0684673	0.0838095	0.0421446	0.0672502	0.0560311	0.0736340	0.0423993	0.0528844	0.0100199	0.0162421	-255121.540
17950	0.3592137	0.0621592	0.0726381	0.0785519	0.0721058	0.0535126	0.0619853	0.0611027	0.0297380	0.0565542	0.0149444	0.0347329	0.0226761	-255115.672
17955	0.3754745	0.0676844	0.0730565	0.0640529	0.0696476	0.0521017	0.0563952	0.0603178	0.0297380	0.0649417	0.0202566	0.0087012	0.0394816	-255126.471
17960	0.3255446	0.0584250	0.0664875	0.0742043	0.0962677	0.0616315	0.0631178	0.0624186	0.0297380	0.0222717	0.0058956	0.0141625	0.0035154	-255121.588
17965	0.3665225	0.0638871	0.0702005	0.0551932	0.0726980	0.0547410	0.0530252	0.0554401	0.0113524	0.0296756	0.0120691	0.0189626	0.0077435	-255118.165
17970	0.3839140	0.0619495	0.0765274	0.0629616	0.0718661	0.0541146	0.0598907	0.0548057	0.0131601	0.0307444	0.0210579	0.0189626	0.0052759	-255115.923
17975	0.3146059	0.0495138	0.0611653	0.0684552	0.0775466	0.0677058	0.0664131	0.0685705	0.0671755	0.0205284	0.0210579	0.0318784	0.0021444	-255123.205
17980	0.3502264	0.0568339	0.0651369	0.0714716	0.0751242	0.0624516	0.0712401	0.0615964	0.0226243	0.1184906	0.0649950	0.0884457	0.0017980	-255119.930
17985	0.3226035	0.0559886	0.0620725	0.0750000	0.0886248	0.0596928	0.0858378	0.0646372	0.0647915	0.0889318	0.0147783	0.0884457	0.0017980	-255119.367
17990	0.2903322	0.0503452	0.0591589	0.0790844	0.1136898	0.0751841	0.1046180	0.0730292	0.0247794	0.1263555	0.0087469	0.0884457	0.0013441	-255119.429
17995	0.3217005	0.0557847	0.0704098	0.0713731	0.0863038	0.0665432	0.0651100	0.0659083	0.0558396	0.1570798	0.0194923	0.0687646	0.0003607	-255122.034
18000	0.3632419	0.0628085	0.0721697	0.0633096	0.0795028	0.0588356	0.0566361	0.0584622	0.0296889	0.0167794	0.0190472	0.0687646	0.0008080	-255122.707
18005	0.3304337	0.0606400	0.0682982	0.0640923	0.0761594	0.0584621	0.0691467	0.0617761	0.0576044	0.0339338	0.0176755	0.0323363	0.0019519	-255121.493
18010	0.3265579	0.0586850	0.0693188	0.0757291	0.0761594	0.0649104	0.0544643	0.0617761	0.0784319	0.0439673	0.0181089	0.0920346	0.0067675	-255122.658
18015	0.2993018	0.0528492	0.0601110	0.0617752	0.0976674	0.0666617	0.0706655	0.0718635	0.0784319	0.0182001	0.0122206	0.0230905	0.0051986	-255121.964
18020	0.3239379	0.0606527	0.0682563	0.0762000	0.0822806	0.0601719	0.0646677	0.0634014	0.0206414	0.0182001	0.0289708	0.0410168	0.0104090	-255123.345
18025	0.3094698	0.0557829	0.0662313	0.0810068	0.0917835	0.0629870	0.0635260	0.0653398	0.0466695	0.0182001	0.0031512	0.0268470	0.0104090	-255125.194
18030	0.4031545	0.0724285	0.0818781	0.0594168	0.0789747	0.0484566	0.0495508	0.0502667	0.0466695	0.0782837	0.0005897	0.0155477	0.0104090	-255119.133
18035	0.2862524	0.0529831	0.0563628	0.0720310	0.0952075	0.0703928	0.0732232	0.0730223	0.0158419	0.0515046	0.0016771	0.0155477	0.0101599	-255116.931
18040	0.3051153	0.0556813	0.0600783	0.0675763	0.0734220	0.0660394	0.0760677	0.0685063	0.0194573	0.0515046	0.0063802	0.0155477	0.0025945	-255120.342
18045	0.3217900	0.0554455	0.0609877	0.0823686	0.0913662	0.0626173	0.0682840	0.0693211	0.0432286	0.1251629	0.0039022	0.0155477	0.0065951	-255121.605
18050	0.3231584	0.0605150	0.0687560	0.0647378	0.0849886	0.0593539	0.0647252	0.0657083	0.0432286	0.0642620	0.0101672	0.0064371	0.0143071	-255119.247
18055	0.2858110	0.0531880	0.0586143	0.0929486	0.0771974	0.0696236	0.0739782	0.0713664	0.0489888	0.0685103	0.0225235	0.0026073	0.0066202	-255121.692
18060	0.3530744	0.0626435	0.0803305	0.0628953	0.0663147	0.0539245	0.0532863	0.0545825	0.0145420	0.0104493	0.0225235	0.0076537	0.0397076	-255119.909
18065	0.3338496	0.0605681	0.0757380	0.0689987	0.0701334	0.0540540	0.0612069	0.0485553	0.0890001	0.0547638	0.0501511	0.0076537	0.1252329	-255125.029
18070	0.3115011	0.0595319	0.0768961	0.0683968	0.0804406	0.0455621	0.0645492	0.0738568	0.0278132	0.0298003	0.1171555	0.0286745	0.1120585	-255121.841
18075	0.3164713	0.0551247	0.0760435	0.0587394	0.0786736	0.0648249	0.0665995	0.0503852	0.0612640	0.0928741	0.4336273	0.0216926	0.1488810	-255117.419
18080	0.2840684	0.0509617	0.0682575	0.0791734	0.0816394	0.0777790	0.0693130	0.0616817	0.0914263	0.0593100	0.3137002	0.0099319	0.1501264	-255123.614
18085	0.3047638	0.0565193	0.0748253	0.0722239	0.0866526	0.0688062	0.0666419	0.0658457	0.0588557	0.1774097	0.4231646	0.0061526	0.0485314	-255119.798
18090	0.2966462	0.0565109	0.0704806	0.0757124	0.1031484	0.0770937	0.0681947	0.0660827	0.0588557	0.0837503	0.1865702	0.0236053	0.0729285	-255123.765
18095	0.3161054	0.0558512	0.0730325	0.0767581	0.0762197	0.0710026	0.0544091	0.0662989	0.1098169	0.0181830	0.1865702	0.0320783	0.0729285	-255121.179
18100	0.3395800	0.0612311	0.0788091	0.0617609	0.0712705	0.0680412	0.0625219	0.0498289	0.1437410	0.0070750	0.1865702	0.0276355	0.0464799	-255124.536
18105	0.2872881	0.0501168	0.0666733	0.0827779	0.0842431	0.0696951	0.0739021	0.0756443	0.0412694	0.0142626	0.0914256	0.0652610	0.0464799	-255117.130
18110	0.3255914	0.0567987	0.0770458	0.0673429	0.0711398	0.0614144	0.0584325	0.0593915	0.0166268	0.0311670	0.0914256	0.0077826	0.1226206	-255123.133
18115	0.3315634	0.0569478	0.0785725	0.0661299	0.0795444	0.0537976	0.0673143	0.0621110	0.0143947	0.0311670	0.0339803	0.0096969	0.0487971	-255122.785
18120	0.3190718	0.0548910	0.0785725	0.0661299	0.0795444	0.0520877	0.0628437	0.0589834	0.0353489	0.0049845	0.0339803	0.0394138	0.0487971	-255120.721
18125	0.3153061	0.0555862	0.0785725	0.0790211	0.0795444	0.0661021	0.0688676	0.0577810	0.0695280	0.0049845	0.0675895	0.0172531	0.0201993	-255117.768
18130	0.3229592	0.0523181	0.0785725	0.0546890	0.0777519	0.0547651	0.0728304	0.0622141	0.1043698	0.0040959	0.0450819	0.0496677	0.0350596	-255121.678
18135	0.3229592	0.0507459	0.0785725	0.0573895	0.0777519	0.0588400	0.0677194	0.0622141	0.1043698	0.0096517	0.0364398	0.0938137	0.0873538	-255124.981
18140	0.3285738	0.0490698	0.0769402	0.0875562	0.0808948	0.0528613	0.0811976	0.0693120	0.2699695	0.0074684	0.0317911	0.0938137	0.0873538	-255122.629
18145	0.3285738	0.0492977	0.0708294	0.1045576	0.0768627	0.0526192	0.0600470	0.0604032	0.1341473	0.0871313	0.0138483	0.0782801	0.0334867	-255121.512
18150	0.3378239	0.0513383	0.0716997	0.0827976	0.0778266	0.0608707	0.0611999	0.0580152	0.1341473	0.1009240	0.0138483	0.0782801	0.0162699	-255116.319
18155	0.3386090	0.0540274	0.0645944	0.0768333	0.0670563	0.0592868	0.0758004	0.0565055	0.0405227	0.1009240	0.0138483	0.0782801	0.0162699	-255119.933
18160	0.3825490	0.0631500	0.0729766	0.0651441	0.0789873	0.0524770	0.0513621	0.0500152	0.1762008	0.0880210	0.0046875	0.0347834	0.0162699	-255122.159
18165	0.3808263	0.0611275	0.0784035	0.0651441	0.0690198	0.0524770	0.0570630	0.0562885	0.0487396	0.0441132	0.0080234	0.0224956	0.0040419	-255122.237
